origin,dest,distance_original
311965585,335574233,15.047416263694089
8085859020,277531426,17.28401316829099
12945474744,668995638,26.51458866482862
8085859020,303586553,29.311093085399712
89893537,298715799,22.699353659589622
92889371,312470287,21.724051255297805
316230123,506566951,29.532711551339812
8085859020,262812816,17.75820721455098
287826664,11187423268,21.096137508271646
92889371,439455849,21.643689300669433
311965585,221573362,29.06271204845729
92889371,410928272,17.01542882625874
92889371,571778463,15.977301911050647
316230123,244055756,17.592184517256843
92889371,511004052,20.744249369840496
316230123,300127163,14.210234736994472
287826664,287267121,27.632296637297795
272614924,1003782756,30.10817913626948
287826664,3760171876,23.82701682352299
287826664,746605864,27.613379221761097
8085859020,9158961226,27.842777189121385
92889371,10931689487,15.9290736378801
311965585,139336454,29.617248076081328
12945474744,11406369334,10.230823013513243
303792367,4887861587,32.81520565134212
287826664,308489043,5.300757272896466
287826664,883066018,19.130053786495658
316230123,148905431,19.614540834204405
89893537,336555285,18.195325606715933
287826664,283287065,24.828325507004678
92889371,322115106,19.046128667779666
316230123,2437383455,14.942399302647146
287826664,6711662677,13.543779543718259
12945474744,2945344916,11.985369805741765
89893537,253447461,22.44006646642773
272614924,4456146334,18.8834588586863
303792367,251298773,19.240010909178316
287826664,496008533,11.265311102094
272614924,3190243546,23.52789254750711
8085859020,4373283540,17.132199271754878
311965585,942401781,15.945351496686277
12945474744,305701285,23.906972564347225
613367948,3971958956,14.920733070941692
303792367,170425003,29.09526834633334
272614924,3652576176,17.58046737946366
12945474744,336429799,5.856997935402786
316230123,11406369334,21.475822988047117
303792367,9022344502,25.747864096809945
12945474744,332722142,33.67903434230565
303792367,292788221,30.79606782892763
316230123,864706072,22.964976149047985
12945474744,331909942,5.360139300913293
303792367,303606114,19.00478097678782
92889371,8440755160,inf
12945474744,247784639,24.419346364698974
287826664,251650471,21.91432952521118
311965585,35908449,19.772238851396615
12945474744,330655231,12.39239683604462
92889371,3259351159,19.296660917288094
316230123,1111624754,20.18697811046528
303792367,2558603444,29.973132863981878
303792367,991778957,15.853039993924494
316230123,491225872,16.547571732497847
272614924,1186338693,27.240621743914097
12945474744,8440755163,inf
311965585,960832808,27.254089277041334
92889371,134682444,17.23876075186662
613367948,303179904,16.17394820245371
272614924,298720459,21.879395787296545
303792367,1427085349,10.903055761548732
8085859020,109728314,16.344648064628572
303792367,335780408,6.184864358227667
311965585,180099031,30.658310107315888
12945474744,7667734505,33.867637589602694
89893537,997634507,23.85796995945697
316230123,330999307,32.198171281252556
303792367,340341059,30.989676058887444
92889371,10771250335,14.900499767423534
8085859020,4310513343,27.065168412033433
92889371,4974239205,18.520824692319053
12945474744,3666897163,3.4661939908036534
613367948,1351118420,15.301733460251429
12945474744,340155244,33.62829635228578
287826664,5256741705,26.07039381401063
272614924,259794595,20.310534923365047
12945474744,692769042,25.264262848773893
92889371,1668718625,21.151848768671904
303792367,1907459899,23.564287546930608
8085859020,1049002102,33.58142396566119
287826664,5656092658,8.033910345387067
316230123,109727111,18.48323224837665
613367948,1465454990,18.462392448106723
316230123,335381833,7.45134793789531
613367948,2290068575,16.451426499169223
92889371,1613186404,24.153905332529902
8085859020,345828244,15.447357059636309
8085859020,461786005,15.533229328508176
613367948,311972966,17.856232405598863
89893537,3888342785,19.040666866196855
272614924,991778468,27.24417139805574
89893537,330655324,21.858263515759646
613367948,255131586,11.765634484088638
12945474744,254403897,31.34920848636216
92889371,376303957,22.417263127819396
8085859020,252175157,13.225802719546497
8085859020,305680981,21.386127963235303
8085859020,503989903,15.914418603970338
272614924,11297781783,11.715822211688499
316230123,319346338,12.375637134026832
303792367,249307685,36.26351354892686
12945474744,80260471,22.534958725139635
613367948,1953905278,12.026197025944773
303792367,311834651,28.63476740430763
272614924,940480218,26.615680875755153
613367948,66717500,20.97025845296268
303792367,3055204618,35.457518503753775
12945474744,4796694085,17.190809514759852
12945474744,255637643,31.76881900299442
92889371,324531199,19.279947109568365
613367948,2101641608,23.83463965127889
272614924,251542472,18.27024343819562
272614924,3450432571,17.966070027661548
272614924,1844038891,22.739362576461374
92889371,11022863189,23.23692189430568
613367948,111911095,23.273529416970167
89893537,2427866479,16.68718314188298
287826664,332059591,21.71794967298719
89893537,51489185,13.821408814285135
8085859020,303035059,19.458586448195422
311965585,257595604,26.07936724387595
316230123,2304003359,29.236357948017325
303792367,2080902432,30.394093592920232
89893537,31449054,20.979935876173098
316230123,9832288516,23.21843153962962
8085859020,252502323,17.064307597289336
316230123,9705074786,9.032654184773046
89893537,303024310,13.070671845834111
89893537,247782299,25.47017655666106
92889371,649854562,21.069908883228965
8085859020,2340420725,22.652863946406352
89893537,4894423131,20.15368596072312
12945474744,60455945,31.898552212134724
613367948,12056199529,19.653381138481066
89893537,1180750507,19.24947004648173
303792367,5222377662,22.57771824417638
316230123,571774707,24.457222747093706
272614924,248196301,18.258456935513447
89893537,298715799,22.699353659589622
303792367,10074399158,10.068839075563373
8085859020,321980323,17.266235913653276
303792367,408739766,23.800153550099918
12945474744,6704065964,22.5879173850547
613367948,5107016809,17.210541913899817
303792367,339007155,22.137807132168906
311965585,38652236,29.320207733377988
303792367,180095605,28.889174913408898
613367948,3196718121,19.41702700402432
311965585,2639375742,14.141419632149317
316230123,4902804557,29.06245293768376
311965585,9723249895,24.312808484735832
311965585,7885018160,15.915715608217313
287826664,9119952660,11.400392755525276
613367948,4692951466,15.08739613115372
8085859020,2598326397,20.756354432739947
287826664,600396741,21.658550723806556
316230123,336207271,27.65793226317006
316230123,3525956175,24.316288089507296
303792367,35969506,11.406741475585777
12945474744,253447242,18.134055017793987
311965585,5101642280,28.159228290884133
272614924,6575560641,21.063260203500327
287826664,253076378,14.195814340672353
311965585,266729327,9.373776286809274
12945474744,39469851,23.15183622406809
311965585,7308961700,24.580353186461515
8085859020,8538763372,20.483447838900876
316230123,269770270,33.13165267761512
303792367,3054191135,30.964653746835523
92889371,68837679,16.725274601042806
92889371,38442099,24.88700059652683
287826664,254404508,27.81730537075137
12945474744,209860099,15.136077251258724
92889371,264445100,26.123807475785426
89893537,536401560,26.09972499255086
303792367,39551471,11.170630258454189
89893537,333117002,16.38655660210749
92889371,11691422397,16.13712402921095
311965585,415908453,29.955140985919876
311965585,583753127,18.061884419512992
311965585,36421992,15.880702051703707
311965585,338769280,30.157180816393982
272614924,974356168,20.841858338364585
316230123,313376942,21.210809098347326
311965585,1643400313,21.912316337977938
287826664,3775709635,24.738013063178958
92889371,11099895517,12.2172313800479
311965585,9330545683,12.407028873454104
316230123,262812388,14.345900859311195
303792367,1154292183,38.7051954521279
311965585,1739077182,30.559955389757867
303792367,39692850,13.021506999247386
12945474744,347447440,27.974326487301663
272614924,3717720654,22.64552867983325
92889371,983759935,18.919970506818586
8085859020,255427160,26.82087180896127
303792367,251542445,24.485813098269325
316230123,304335381,27.27608346369412
287826664,309738429,7.338404628501184
613367948,2561861981,26.674457067167676
272614924,31445678,27.064259615786938
316230123,239493582,28.693248437558054
12945474744,314969136,29.961266295586913
316230123,315360699,19.00320507186409
89893537,248793448,13.871160776412404
287826664,1409621454,34.387257842219135
613367948,7051249247,17.973951992892008
303792367,2975587151,30.274882256668796
287826664,307014528,21.923999810236968
8085859020,297477476,26.517094460695898
12945474744,304134041,15.3196581092739
92889371,255183325,24.03677540772908
272614924,304383685,16.021927291672736
89893537,81377003,28.497478429661115
89893537,7308961571,14.226891074110195
613367948,308358993,14.017545755583866
272614924,3425446031,17.15491741710988
303792367,949782086,31.54016462427583
613367948,3580511630,16.79784294574706
316230123,100012751,26.67584716290075
303792367,3188151889,15.401489907363647
311965585,249569052,21.126715772247664
287826664,7306246395,26.93515304161722
303792367,2444078461,18.84395516895451
303792367,259872425,31.198378788755424
287826664,634828833,7.913748724108181
92889371,251475666,17.49406982129771
89893537,1164315660,12.578142580805384
8085859020,308358915,20.572650757817083
12945474744,2278347816,35.99682001685917
8085859020,489474699,24.20105896529945
8085859020,11100000373,13.524728006393632
287826664,249078755,28.02653548817612
287826664,239530273,25.914764440920184
613367948,305701411,18.156970338979512
12945474744,983140197,36.09147997101129
287826664,3221724613,21.223022192755494
316230123,255637643,24.180990478296707
613367948,36422416,17.081985191935633
92889371,308087980,21.331505931546612
8085859020,302718403,23.307625095541834
92889371,304097268,15.517490678322666
311965585,12394189315,23.571394884344922
8085859020,309677786,28.776968713068623
303792367,1197963115,31.119738298958183
8085859020,9415895110,23.293030128515564
613367948,244055123,15.303413612698844
272614924,991777668,33.443524192864665
303792367,252999747,28.774671760552984
92889371,4625228145,17.779406503203813
272614924,2872766314,15.75822772883121
272614924,309595835,26.334066394168477
316230123,282412137,18.086954066856553
12945474744,864706072,6.7774590330108015
92889371,455006409,24.628941367633733
272614924,303606265,17.64776382524412
311965585,259794959,28.298713364978592
272614924,333117009,14.593404308046557
272614924,264893964,18.429006227356876
12945474744,12452930682,15.56938285451792
272614924,308649224,21.37093420238137
311965585,9085809470,21.040516012029062
8085859020,330982089,34.01562140124779
303792367,3196718108,30.604395783768222
8085859020,10814385274,13.49000484014172
89893537,249076698,19.33157577501237
272614924,2101641643,22.606866039767745
92889371,3760171593,23.419759447816514
287826664,1665493917,29.48526094482237
311965585,319397640,31.429385869947875
303792367,594964533,8.398917158362636
316230123,253769274,13.769696566780862
316230123,254153891,19.858383818946056
272614924,331580621,18.246885325384266
272614924,81502903,19.446580871510296
311965585,252853490,32.03187770881457
92889371,3431322856,17.94630983774379
12945474744,10931689487,28.56360152065545
287826664,3428439471,21.387079340825764
272614924,449113018,22.35808118982142
92889371,903718848,15.029996721400298
316230123,274115346,21.24015469828997
89893537,1769501469,24.350279903679372
272614924,305641880,15.087764517927095
311965585,6981694058,7.930208420357536
12945474744,251641799,27.7871195923085
303792367,247952576,7.754812204840507
89893537,7051249245,18.730872953427333
89893537,319388692,20.70132630823061
12945474744,253073870,8.688138887282953
613367948,318493549,21.084008082672746
316230123,5067458397,24.92425487158069
316230123,38441227,24.870902568944096
287826664,251301761,23.59246062786324
89893537,1197963115,22.27544134667617
12945474744,614728710,9.350818169369859
8085859020,252998973,14.739629074493708
8085859020,601843310,22.712459644074684
92889371,1003830202,inf
8085859020,13355188894,20.06059509287837
316230123,5681870344,31.065174441066663
12945474744,11149681845,29.605036098627988
92889371,253315458,19.746359556831397
8085859020,11022863189,18.261949040621307
303792367,751827381,18.259682755054193
287826664,221573362,26.42876076863272
272614924,7648865902,23.013994248271196
272614924,251470935,20.708901121608054
311965585,2467516842,28.788642568028415
92889371,309459916,16.20697374005195
311965585,260331533,14.080664570419774
92889371,36160614,18.966228613089243
272614924,329578312,18.83104974799025
89893537,321980323,22.577192680676198
311965585,321997153,22.113782110779272
8085859020,1788791588,11.484485032810097
92889371,274115106,21.522774086766276
613367948,13070647744,18.638082233079093
92889371,10712868096,17.497045174498773
311965585,313296248,16.423195934526575
89893537,339219733,25.818586072270122
272614924,291963988,19.222927904500573
12945474744,7020745183,18.716766602969805
287826664,269770265,26.95548365299307
311965585,9119952660,23.86509339165908
303792367,1870079726,27.3651150194614
272614924,1049002102,28.191205076117257
311965585,274117296,15.028422989706526
92889371,7306246471,16.473684513969918
272614924,960844721,23.578600119171874
92889371,218705056,18.520923370506168
287826664,266862779,27.530054850531712
316230123,68839918,16.962458717028976
303792367,267560939,35.30619260116408
316230123,1079047800,12.33464457182591
8085859020,10929975439,6.424995280093518
303792367,268102864,25.689879081940035
311965585,634921463,27.67364213512218
12945474744,1842914636,32.55370955931463
311965585,308359019,22.81406053847416
613367948,994738336,25.31320534531623
12945474744,2945344916,11.985369805741765
272614924,3837147818,13.543598567556904
311965585,301857085,22.186395558805803
303792367,963377692,15.21274822721318
8085859020,267379362,10.838320222602318
311965585,11734996725,29.08802075419807
316230123,59638626,18.694708432976782
89893537,248043401,16.47276653392291
8085859020,340341059,19.98919131150582
8085859020,1333568371,23.569119076744535
316230123,330982063,32.34615023654209
316230123,529117627,24.580575189075997
12945474744,250954842,21.61798680736142
272614924,8382264628,18.156539773380885
8085859020,188469114,27.335561769380224
613367948,65340949,21.664190785664793
92889371,291707983,25.34933640275134
287826664,7306238119,24.246521555636434
12945474744,4102551601,20.25120940745733
89893537,250556655,21.58139883655738
287826664,248793448,24.98919335968589
287826664,10771250380,22.88584661421482
272614924,416002175,12.538341473308783
8085859020,334790188,13.254985307517844
272614924,1013013161,26.94905218871157
311965585,2426445080,9.308189640481295
8085859020,1617824304,22.169102546303712
303792367,12390993601,11.241989007317613
303792367,2435208233,37.6382596460862
12945474744,1532852174,32.90216476437513
12945474744,259795263,21.238749073150217
316230123,7051249252,27.019874278868805
92889371,259867924,22.602387673675654
272614924,60723054,20.896321505362682
272614924,311396180,18.529504244070036
613367948,2378397061,19.14403640913963
316230123,249073332,26.623119168231874
272614924,3083233646,22.537623163849908
272614924,9833823823,19.55315592103465
12945474744,306557466,26.95007527351673
89893537,665222538,19.66886867786529
8085859020,322479120,28.63795638678373
8085859020,249072750,30.168118001674912
311965585,335783057,32.561220084047605
8085859020,12390641700,26.873782655812022
613367948,526582498,21.45665036637438
92889371,307620241,25.61858659627924
287826664,300698159,18.45732720836054
311965585,255420867,15.846136002276717
613367948,326923464,20.161624263909896
303792367,298715318,30.805349867633744
316230123,254427999,21.034125903824126
12945474744,2304900232,16.149190215796057
613367948,1642793431,12.830081231902371
316230123,255092191,13.932892409859484
287826664,245917292,7.1313667163068795
303792367,1518304715,31.08675283302786
303792367,296888150,28.65873181309302
272614924,302920304,9.917919041844792
287826664,40886793,22.94261553838986
316230123,330999337,34.53993810984074
89893537,252805551,25.119090792823183
613367948,255422722,17.002001673255425
316230123,5767891172,30.544165961305918
303792367,324532013,24.47048513895045
8085859020,316820796,24.740106512268323
316230123,253892065,18.039787859345275
613367948,338867743,23.438737961639355
303792367,798868912,15.83725866892435
287826664,257533656,9.305635422999437
303792367,302909565,35.87575743052658
316230123,4102551619,12.883197532777682
287826664,338986311,33.56788849350028
613367948,275635581,15.786775601976219
8085859020,480805882,22.559750196699227
272614924,12357746682,13.789291888239221
92889371,332061394,15.123139534721023
311965585,11691422397,23.826022427323863
272614924,5603694972,17.198527190008658
316230123,38442091,24.890028773188945
272614924,5026067610,20.054364295449744
287826664,253073636,14.629726908312225
92889371,76459474,14.437180418590609
8085859020,561338242,27.690953276807306
303792367,244056315,28.564776884371224
92889371,71051829,25.20923234535668
272614924,3398357685,14.842290607136167
613367948,11956294384,19.861987270887546
8085859020,590062950,18.695137316802008
8085859020,314969161,15.218284134950062
89893537,299219055,17.137189088356237
311965585,2079575190,27.616170402808244
311965585,259787552,19.108554627878817
287826664,3931439219,24.25928764612005
272614924,252502323,12.54461278876136
316230123,317012222,21.028895708363994
303792367,254431668,34.22838173769054
303792367,9415895111,36.483983424084734
287826664,39692850,22.83773305491646
272614924,3003746373,23.49419490104414
287826664,994738296,31.967796000696158
613367948,33533760,23.70553084866776
12945474744,1257066878,4.103898388033143
316230123,2009690207,29.770945536943827
316230123,60766809,21.487522907898587
287826664,3917371578,27.033696752044374
89893537,259787231,20.760538633654345
316230123,9065820389,16.98695182101491
12945474744,598622389,25.052456990876443
303792367,61703614,15.253772062276806
8085859020,446058294,23.161204630272145
12945474744,253891937,4.377397963749062
12945474744,257451250,30.965568443884973
311965585,1965299326,9.024646165966626
92889371,3428441374,17.88962235182934
89893537,1644037249,16.99127434740912
311965585,9143354774,21.682635306852806
311965585,678262463,23.594638414669845
311965585,303021610,21.61344933025412
92889371,6084402616,16.857594206120595
89893537,259795121,25.83116557015682
613367948,97047083,21.662129837072722
8085859020,66514698,17.686805133312056
272614924,333117010,15.676090987368791
89893537,303902464,26.55992649764412
272614924,228830919,21.50381982660628
311965585,588676292,38.601079906659905
8085859020,3247972925,29.041230371482214
303792367,3377868221,32.915874031845114
303792367,61699827,inf
272614924,340340550,24.537257052434953
92889371,1673815807,24.95115240081855
272614924,258846350,20.699344535549567
311965585,7376611700,24.75971118230323
12945474744,68888390,27.514606634994536
8085859020,5098938757,21.486426215859876
8085859020,976805812,14.79689494406394
311965585,4856400136,19.220329422229284
311965585,239507660,19.274377067565393
272614924,268948436,29.500935501546827
8085859020,259791032,26.23567603370208
303792367,257568459,23.476920757135858
12945474744,4949259265,30.81941933522227
89893537,9752662105,22.454097351232836
316230123,59642556,23.105201472501694
12945474744,334790258,21.548133273131114
613367948,2857800065,19.94257952644255
303792367,266513253,6.593972707197594
311965585,4856400136,19.220329422229284
